Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
Over the Hill to the Poorhouse,15-09-1920,Black and White,Crime,English,USA,Not Rated,Stephen Carr,Harry F. Millarde,2,4,0,0,4.8,1,110,3000000,100000
Metropolis,26-01-1927,Black and White,Drama,German,Germany,Not Rated,Brigitte Helm,Fritz Lang,136,203,756,12000,8.3,260,145,26435,6000000
The Broadway Melody,11-11-1929,Black and White,Musical,English,USA,Passed,Anita Page,Harry Beaumont,77,109,4,167,6.3,36,100,2808000,379000
42nd Street,29-08-1933,Black and White,Comedy,English,USA,Unrated,Ginger Rogers,Lloyd Bacon,610,995,24,439,7.7,65,89,2300000,439000
Top Hat,15-04-1935,Black and White,Comedy,English,USA,Approved,Ginger Rogers,Mark Sandrich,610,824,10,1000,7.8,66,81,3000000,609000
Modern Times,07-10-1936,Black and White,Comedy,English,USA,G,Paulette Goddard,Charles Chaplin,309,352,0,0,8.6,120,87,163245,1500000
Snow White and the Seven Dwarfs,02-02-1937,Color,Animation,English,USA,Approved,Adriana Caselotti,William Cottrell,82,229,0,0,7.7,145,83,184925485,2000000
Gone with the Wind,12-11-1939,Color,Drama,English,USA,G,Hattie McDaniel,Victor Fleming,503,1862,149,16000,8.2,157,226,198655278,3977000
The Wizard of Oz,09-04-1939,Black and White,Adventure,English,USA,Passed,Margaret Hamilton,Victor Fleming,695,2509,149,14000,8.1,213,102,22202612,2800000
Fantasia,18-05-1940,Color,Animation,English,USA,G,Leopold Stokowski,James Algar,16,16,11,3000,7.8,99,120,76400000,2280000
Pinocchio,12-10-1940,Color,Animation,English,USA,Approved,Mel Blanc,Norman Ferguson,1000,1178,3,0,7.5,105,88,84300000,2600000
Duel in the Sun,07-06-1946,Color,Drama,English,USA,Unrated,Joseph Cotten,King Vidor,469,2037,54,403,6.9,32,144,20400000,8000000
The Best Years of Our Lives,26-04-1946,Black and White,Drama,English,USA,Not Rated,Myrna Loy,William Wyler,749,1941,355,0,8.1,97,172,23650000,2100000
The Lady from Shanghai,07-12-1947,Black and White,Crime,English,USA,Not Rated,Rita Hayworth,Orson Welles,1000,1055,0,0,7.7,90,92,7927,2300000
The Pirate,07-04-1948,Color,Adventure,English,USA,Approved,Gladys Cooper,Vincente Minnelli,89,282,136,359,7.1,41,102,2956000,3700000
Annie Get Your Gun,02-04-1950,Color,Biography,English,USA,Passed,Keenan Wynn,George Sidney,277,731,24,456,7,21,107,8000000,3768785
The Greatest Show on Earth,23-10-1952,Color,Drama,English,USA,Not Rated,Gloria Grahame,Cecil B. DeMille,232,825,309,625,6.7,44,152,36000000,4000000
"The Beast from 20,000 Fathoms",22-08-1953,Black and White,Adventure,English,USA,Approved,Kenneth Tobey,Eug̬ne Louri̩,57,205,7,465,6.7,67,80,5000000,210000
The Robe,15-05-1953,Color,Drama,English,USA,Unrated,Richard Burton,Henry Koster,726,1920,28,0,6.8,42,135,36000000,5000000
On the Waterfront,29-10-1954,Black and White,Crime,English,USA,Not Rated,Marlon Brando,Elia Kazan,10000,11094,603,0,8.2,134,108,9600000,910000
Seven Samurai,02-07-1954,Black and White,Action,Japanese,Japan,Unrated,Takashi Shimura,Akira Kurosawa,304,338,0,11000,8.7,153,202,269061,2000000
The Bridge on the River Kwai,24-09-1957,Color,Adventure,English,UK,PG,William Holden,David Lean,682,1035,767,0,8.2,122,161,27200000,3000000
Some Like It Hot,23-02-1959,Black and White,Comedy,English,USA,Not Rated,Nehemiah Persoff,Billy Wilder,105,527,0,10000,8.3,181,120,25000000,2883848
Psycho,04-11-1960,Black and White,Horror,English,USA,R,Janet Leigh,Alfred Hitchcock,606,1885,13000,18000,8.5,290,108,32000000,806947
West Side Story,03-05-1961,Color,Crime,English,USA,Unrated,Rita Moreno,Jerome Robbins,804,1802,34,0,7.6,120,152,43650000,6000000
Dr. No,27-11-1962,Color,Action,English,UK,Approved,Ursula Andress,Terence Young,650,1421,92,5000,7.3,184,110,16067035,1100000
Lawrence of Arabia,11-10-1962,Color,Adventure,English,UK,PG,Claude Rains,David Lean,607,1076,767,11000,8.4,181,227,6000000,15000000
Cleopatra,14-12-1963,Color,Biography,English,UK,Approved,Martin Landau,Joseph L. Mankiewicz,940,2957,311,0,7,72,251,57750000,31115000
From Russia with Love,24-11-1963,Color,Action,English,UK,Approved,Robert Shaw,Terence Young,559,1456,92,0,7.5,167,115,24800000,2000000
"It's a Mad, Mad, Mad, Mad World",27-11-1963,Color,Action,English,USA,Approved,Jonathan Winters,Stanley Kramer,924,4109,176,0,7.6,61,197,46300000,9400000
A Fistful of Dollars,13-01-1964,Color,Action,Italian,Italy,R,Clint Eastwood,Sergio Leone,16000,16534,0,0,8,122,99,3500000,200000
A Hard Day's Night,22-05-1964,Black and White,Comedy,English,UK,Approved,Paul McCartney,Richard Lester,785,2538,44,0,7.7,105,87,515005,560000
Goldfinger,29-05-1964,Color,Action,English,UK,Approved,Honor Blackman,Guy Hamilton,387,1198,82,0,7.8,164,110,51100000,3000000
Mary Poppins,21-03-1964,Color,Comedy,English,USA,Approved,Ed Wynn,Robert Stevenson,382,2045,55,0,7.8,145,139,102300000,6000000
My Fair Lady,15-07-1964,Color,Drama,English,USA,Approved,Jeremy Brett,George Cukor,453,1164,165,0,7.9,82,170,72000000,17000000
Nothing But a Man,09-04-1964,Black and White,Drama,English,USA,Not Rated,Yaphet Kotto,Michael Roemer,581,835,0,363,8.1,24,95,12438,160000
Doctor Zhivago,29-06-1965,Color,Drama,English,USA,PG-13,Julie Christie,David Lean,597,1966,767,7000,8,89,200,111722000,11000000
Major Dundee,25-11-1965,Color,Adventure,English,USA,Approved,James Coburn,Sam Peckinpah,773,2888,541,251,6.8,53,152,14873,3800000
The Greatest Story Ever Told,18-04-1965,Color,Biography,English,USA,G,Martin Landau,George Stevens,940,1934,126,1000,6.6,27,225,8000000,20000000
The Sound of Music,18-07-1965,Color,Biography,English,USA,G,Eleanor Parker,Robert Wise,354,1495,338,15000,8,119,174,163214286,8200000
Thunderball,28-04-1965,Color,Action,English,UK,Approved,Desmond Llewelyn,Terence Young,244,1164,92,0,7,129,130,63600000,9000000
"The Good, the Bad and the Ugly",25-06-1966,Color,Western,Italian,Italy,Approved,Clint Eastwood,Sergio Leone,16000,16089,0,20000,8.9,181,142,6100000,1200000
You Only Live Twice,23-02-1967,Color,Action,English,UK,Approved,Donald Pleasence,Lewis Gilbert,742,2127,43,0,6.9,130,117,43100000,9500000
2001: A Space Odyssey,12-07-1968,Color,Adventure,English,UK,G,Keir Dullea,Stanley Kubrick,273,727,0,24000,8.3,285,161,56715371,12000000
Oliver!,19-08-1968,Color,Drama,English,UK,G,Oliver Reed,Carol Reed,695,1593,82,0,7.5,56,153,16800000,10000000
Butch Cassidy and the Sundance Kid,25-11-1969,Color,Biography,English,USA,M,Katharine Ross,George Roy Hill,640,2169,131,0,8.1,130,110,102308900,6000000
Mississippi Mermaid,13-10-1969,Color,Crime,French,France,R,Catherine Deneuve,Fran̤ois Truffaut,963,1694,0,278,7.2,35,123,26893,1600000
On Her Majesty's Secret Service,30-01-1969,Color,Action,English,UK,M,Telly Savalas,Peter R. Hunt,803,1769,13,0,6.8,143,142,22800000,7000000
Beyond the Valley of the Dolls,16-04-1970,Color,Comedy,English,USA,X,Charles Napier,Russ Meyer,503,731,199,0,6.2,101,109,9000000,900000
Darling Lili,16-11-1970,Color,Comedy,English,USA,G,Rock Hudson,Blake Edwards,638,788,688,104,6.2,22,143,5000000,25000000
Tora! Tora! Tora!,23-06-1970,Color,Action,English,Japan,G,Joseph Cotten,Richard Fleischer,469,1548,130,0,7.5,79,160,14500000,25000000
Woodstock,25-08-1970,Color,Documentary,English,USA,R,Joe Cocker,Michael Wadleigh,262,778,14,0,8.1,53,215,13300000,600000
Diamonds Are Forever,03-09-1971,Color,Action,English,UK,GP,Desmond Llewelyn,Guy Hamilton,244,1105,82,0,6.7,120,120,43800000,7200000
Fiddler on the Roof,12-04-1971,Color,Drama,English,USA,G,Topol,Norman Jewison,402,934,278,0,8,66,181,50000000,9000000
Pink Narcissus,30-05-1971,Color,Drama,English,USA,Not Rated,Don Brooks,James Bidgood,0,0,0,85,6.7,8,65,8231,27000
Sweet Sweetback's Baadasssss Song,03-05-1971,Color,Crime,English,USA,R,John Amos,Melvin Van Peebles,982,1631,101,566,5.5,38,97,15180000,500000
Pink Flamingos,16-06-1972,Color,Comedy,English,USA,NC-17,Divine,John Waters,462,760,0,0,6.1,73,108,180483,10000
The Godfather,22-02-1972,Color,Crime,English,USA,R,Al Pacino,Francis Ford Coppola,14000,28122,0,43000,9.2,208,175,134821952,6000000
American Graffiti,13-06-1973,Color,Comedy,English,USA,PG,Harrison Ford,George Lucas,11000,14954,0,0,7.5,100,112,115000000,777000
Live and Let Die,09-08-1973,Color,Action,English,UK,PG,Yaphet Kotto,Guy Hamilton,581,1865,82,0,6.8,136,121,35400000,7000000
Mean Streets,30-10-1973,Color,Crime,English,USA,R,Robert De Niro,Martin Scorsese,22000,23737,17000,0,7.4,112,112,32645,500000
The Exorcist,18-11-1973,Color,Horror,English,USA,R,Ellen Burstyn,William Friedkin,1000,2466,607,18000,8,304,132,204565000,8000000
The Sting,04-09-1973,Color,Comedy,English,USA,PG,Eileen Brennan,George Roy Hill,1000,2387,131,0,8.3,119,129,159600000,5500000
Benji,21-08-1974,Color,Adventure,English,USA,G,Frances Bavier,Joe Camp,407,1090,24,816,6.1,5,86,39552600,500000
Blazing Saddles,01-03-1974,Color,Comedy,English,USA,R,Madeline Kahn,Mel Brooks,1000,4701,0,12000,7.8,121,93,119500000,2600000
The Godfather: Part II,13-04-1974,Color,Crime,English,USA,R,Robert De Niro,Francis Ford Coppola,22000,39960,0,14000,9,149,220,57300000,13000000
The Man with the Golden Gun,28-02-1974,Color,Action,English,UK,PG,Christopher Lee,Guy Hamilton,16000,17611,82,2000,6.8,118,125,21000000,13000000
The Texas Chain Saw Massacre,12-04-1974,Color,Horror,English,USA,R,Gunnar Hansen,Tobe Hooper,383,1094,365,0,7.5,277,88,30859000,83532
Young Frankenstein,17-06-1974,Black and White,Comedy,English,USA,PG,Madeline Kahn,Mel Brooks,1000,2703,0,14000,8,129,106,86300000,2800000
Jaws,16-02-1975,Color,Adventure,English,USA,PG,Roy Scheider,Steven Spielberg,813,2047,14000,21000,8,385,130,260000000,8000000
Monty Python and the Holy Grail,21-06-1975,Color,Adventure,English,UK,PG,Eric Idle,Terry Gilliam,795,2158,0,14000,8.3,131,91,1229197,229575
One Flew Over the Cuckoo's Nest,30-05-1975,Color,Drama,English,USA,R,Scatman Crothers,Milos Forman,888,2176,869,32000,8.7,149,133,112000000,4400000
Logan's Run,05-10-1976,Color,Action,English,USA,PG,Farrah Fawcett,Michael Anderson,1000,2951,23,0,6.8,112,119,25000000,9000000
Rocky,16-11-1976,Color,Drama,English,USA,PG,Sylvester Stallone,John G. Avildsen,13000,16094,80,0,8.1,141,145,117235247,960000
A Bridge Too Far,21-08-1977,Black and White,Drama,English,USA,PG,Ryan O'Neal,Richard Attenborough,385,669,0,0,7.4,56,175,50800000,26000000
Annie Hall,17-05-1977,Color,Comedy,English,USA,PG,Woody Allen,Woody Allen,11000,12691,11000,0,8.1,154,93,39200000,4000000
Close Encounters of the Third Kind,11-12-1977,Color,Drama,English,USA,PG,Bob Balaban,Steven Spielberg,559,1591,14000,0,7.7,171,135,128300000,19400870
Kingdom of the Spiders,02-01-1977,Color,Horror,English,USA,PG,Woody Strode,John 'Bud' Cardos,423,516,8,0,5.9,95,97,17000000,500000
March or Die,28-05-1977,Color,Adventure,English,UK,PG,Catherine Deneuve,Dick Richards,963,2209,6,122,6.3,6,107,1000000,9000000
Star Wars: Episode IV - A New Hope,07-02-1977,Color,Action,English,USA,PG,Harrison Ford,George Lucas,11000,13485,0,33000,8.7,282,125,460935665,11000000
The Spy Who Loved Me,01-08-1977,Color,Action,English,UK,PG,Caroline Munro,Lewis Gilbert,456,1326,43,0,7.1,112,123,46800000,14000000
Animal House,06-09-1978,Color,Comedy,English,USA,R,John Belushi,John Landis,1000,3468,644,0,7.6,94,109,141600000,3000000
Caravans,17-04-1978,Color,Action,English,Iran,PG,Christopher Lee,James Fargo,16000,17250,109,76,6.5,2,127,1000000,14000000
Grease,18-08-1978,Color,Musical,English,USA,PG-13,Olivia Newton-John,Randal Kleiser,1000,5127,116,13000,7.2,124,110,181360000,6000000
Halloween,27-08-1978,Color,Horror,English,USA,R,Jamie Lee Curtis,John Carpenter,2000,4400,0,12000,7.9,318,101,47000000,300000
Jaws 2,06-06-1978,Color,Adventure,English,USA,PG,Roy Scheider,Jeannot Szwarc,813,1520,82,0,5.7,75,131,102922376,20000000
Superman,10-05-1978,Color,Action,English,USA,PG,Marlon Brando,Richard Donner,10000,12940,503,0,7.3,169,188,134218018,55000000
The Wiz,17-07-1978,Color,Adventure,English,USA,G,Lena Horne,Sidney Lumet,738,1458,0,0,5.2,32,118,13000000,24000000
Alien,03-10-1979,Color,Horror,English,UK,R,Tom Skerritt,Ridley Scott,1000,2524,0,23000,8.5,392,116,78900000,11000000
Apocalypse Now,08-09-1979,Color,Drama,English,USA,R,Harrison Ford,Francis Ford Coppola,11000,25313,0,19000,8.5,261,289,78800000,31500000
Escape from Alcatraz,05-05-1979,Color,Biography,English,USA,PG,Clint Eastwood,Don Siegel,16000,17568,152,0,7.6,53,112,36500000,8000000
Moonraker,23-09-1979,Color,Action,English,UK,PG,Desmond Llewelyn,Lewis Gilbert,244,1008,43,0,6.3,121,126,62700000,34000000
Star Trek: The Motion Picture,02-11-1979,Color,Adventure,English,USA,PG,Leonard Nimoy,Robert Wise,12000,16007,338,0,6.4,134,143,82300000,35000000
The Rose,08-05-1979,Color,Drama,English,USA,R,David Keith,Mark Rydell,563,1097,43,1000,6.9,32,125,29200000,8500000
Airplane!,09-07-1980,Color,Comedy,English,USA,PG,Peter Graves,Jim Abrahams,628,2726,104,16000,7.8,134,88,83400000,3500000
Caddyshack,13-10-1980,Color,Comedy,English,USA,R,Bill Murray,Harold Ramis,13000,14921,11000,0,7.4,71,98,39800000,6000000
Can't Stop the Music,10-11-1980,Color,Biography,English,USA,PG,Steve Guttenberg,Nancy Walker,801,1462,42,1000,4.5,26,124,2000000,20000000
Dressed to Kill,16-06-1980,Color,Mystery,English,USA,X,Angie Dickinson,Brian De Palma,754,2442,0,0,7.1,121,104,31899000,6500000
Heaven's Gate,10-02-1980,Color,Adventure,English,USA,R,Jeff Bridges,Michael Cimino,12000,14255,517,1000,6.8,102,325,1500000,44000000
Ordinary People,21-02-1980,Color,Drama,English,USA,R,Adam Baldwin,Robert Redford,2000,5122,0,0,7.8,62,124,54800000,6000000
Private Benjamin,10-07-1980,Color,Comedy,English,USA,R,Eileen Brennan,Howard Zieff,1000,2419,6,855,6.1,25,109,69800000,10000000
Raging Bull,28-07-1980,Black and White,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000,23008,17000,0,8.3,151,121,45250,18000000
